PROVINCE,ProvinceMap,Positive,Total
AG,IT.AG,890,4774
AL,IT.AL,1104,10533
AN,IT.AN,1203,11158
AO,IT.AO,176,1412
AP,IT.AP,266,2980
AQ,IT.AQ,478,2634
AR,IT.AR,1400,17413
AT,IT.AT,283,3352
AV,IT.AV,307,1918
BA,IT.BA,2526,13946
BG,IT.BG,1661,18518
BI,IT.BI,858,7979
BL,IT.BL,1090,13873
BN,IT.BN,339,1569
BO,IT.BO,1080,8799
BR,IT.BR,912,5569
BS,IT.BS,1937,15465
BT,IT.BT,969,3843
BZ,IT.BZ,1324,13128
CA,IT.CA,328,2509
CB,IT.CB,134,1364
CE,IT.CE,3720,18488
CH,IT.CH,299,3471
CI,IT.CI,49,390
CL,IT.CL,1614,6631
CN,IT.CN,1568,15366
CO,IT.CO,1388,17655
CR,IT.CR,407,3893
CS,IT.CS,1679,9670
CT,IT.CT,2417,9333
CZ,IT.CZ,201,1520
EE,IT.EE,369,3368
EN,IT.EN,122,809
FC,IT.FC,1467,15380
FE,IT.FE,954,8862
FG,IT.FG,354,2621
FI,IT.FI,2286,24078
FM,IT.FM,329,3157
FR,IT.FR,1405,9645
GE,IT.GE,900,7777
GO,IT.GO,316,3023
GR,IT.GR,576,4325
IM,IT.IM,693,6838
IS,IT.IS,95,662
KR,IT.KR,28,235
LC,IT.LC,497,6415
LE,IT.LE,4184,20569
LI,IT.LI,539,4834
LO,IT.LO,408,3908
LT,IT.LT,1096,6016
LU,IT.LU,1361,12739
MB,IT.MB,1006,10982
MC,IT.MC,1430,11948
ME,IT.ME,438,2780
MI,IT.MI,3706,36345
MN,IT.MN,1344,12745
MO,IT.MO,989,12800
MS,IT.MS,373,2738
MT,IT.MT,221,2174
NA,IT.NA,5959,38199
NO,IT.NO,693,7006
NU,IT.NU,264,1310
OG,IT.OG,58,387
OR,IT.OR,105,973
OT,IT.OT,77,500
PA,IT.PA,2409,12222
PC,IT.PC,598,5891
PD,IT.PD,3134,35324
PE,IT.PE,333,3909
PG,IT.PG,2907,28027
PI,IT.PI,835,9307
PN,IT.PN,761,9589
PO,IT.PO,473,5145
PR,IT.PR,513,4427
PT,IT.PT,624,6257
PU,IT.PU,1943,20781
PV,IT.PV,1077,11499
PZ,IT.PZ,378,4092
RA,IT.RA,702,7166
RC,IT.RC,734,3746
RE,IT.RE,1349,13772
RG,IT.RG,727,5678
RI,IT.RI,203,1347
RM,IT.RM,7223,40293
RN,IT.RN,1096,12815
RO,IT.RO,991,6529
SA,IT.SA,1543,11327
SI,IT.SI,672,6497
SO,IT.SO,302,4671
SP,IT.SP,626,4696
SR,IT.SR,633,4243
SS,IT.SS,379,2359
SV,IT.SV,731,6187
TA,IT.TA,961,6071
TE,IT.TE,523,4661
TN,IT.TN,1589,17347
TO,IT.TO,2487,21048
TP,IT.TP,204,1649
TR,IT.TR,804,6457
TS,IT.TS,409,3783
TV,IT.TV,3211,41035
UD,IT.UD,2080,25531
VA,IT.VA,1537,17263
VB,IT.VB,375,4637
VC,IT.VC,592,5965
VE,IT.VE,2506,26847
VI,IT.VI,2916,30771
VR,IT.VR,2978,26914
VS,IT.VS,188,1711
VT,IT.VT,1459,11370
VV,IT.VV,197,1407
NULL,IT.NULL,56,341
