State Name,Customers
AGUASCALIENTES,16071
BAJA CALIFORNIA NORTE,38863
BAJA CALIFORNIA SUR,2590
CAMPECHE,8778
CHIAPAS,11010
CHIHUAHUA,20801
COAHUILA,25670
COLIMA,6414
DISTRITO FEDERAL,351857
DURANGO,4227
EDO. DE MEXICO,170332
GUANAJUATO,18296
GUERRERO,7607
HIDALGO,7392
JALISCO,148962
MICHOACAN,15205
MORELOS,17446
NAYARIT,4510
NUEVO LEON,88301
OAXACA,9121
PUEBLA,58856
QUERETARO,27925
QUINTANA ROO,18043
SAN LUIS POTOSI,5881
SINALOA,15351
SONORA,11017
TABASCO,15431
TAMAULIPAS,13565
TLAXCALA,2843
VERACRUZ,75593
YUCATAN,23817
ZACATECAS,2434
